name,index
SP110,0
GTPBA,1
SNX2,2
FRG1,3
TT21A,4
RHG18,5
AR,6
DOCK1,7
RAB1A,8
MUC1.HMFG2,9
H2B1L,10
RFC1,11
TXTP,12
MER34,13
IL.3,14
FXR2,15
ARMD3,16
ZDHC9,17
KAPCA,18
HH3,19
ZBT21,20
F149B,21
PDE10,22
PCD18,23
PEBB,24
PRI1,25
NU214,26
TNAP,27
JHD2C,28
MIC19,29
CD213A2,30
HYEP,31
ZFR,32
PUF60,33
GPAT3,34
DIDO1,35
CD185,36
AT12A,37
TATD1,38
ZN341,39
RPB3,40
APOC3,41
TCR.VY9,42
HS90B,43
EMAL6,44
WFS1,45
RS9,46
PGK2,47
TYW2,48
EF1B,49
IMB1,50
ACADM,51
PAR6A,52
CAP1,53
CD357,54
RGS7,55
TCTP,56
EXOS9,57
RT34,58
SQSTM,59
TBA1A,60
ENOPH,61
BAP18,62
AQR,63
SMRC1,64
FRIH,65
HS105,66
MORN3,67
TIM23,68
K1143,69
CXB3,70
CD72,71
UBP25,72
ECP,73
EF2,74
NSF1C,75
CD196,76
SPDE3,77
CCR10,78
PON2,79
PURB,80
PLCG2,81
TCPD,82
CPNE3,83
TCRG,84
MAOX,85
PEPL,86
NUF2,87
RYR2,88
LIMC1,89
CHM2B,90
LNX1,91
MARCS,92
ATP5E,93
ZBED6,94
FA47C,95
UBE4B,96
AAMDC,97
CGAS,98
AL1L1,99
PDE1A,100
VIR,101
AKP8L,102
APC,103
PLXD1,104
RNZ2,105
MYPC3,106
MRP5,107
PROF2,108
UBA3,109
ZN599,110
TCR.VB13.2,111
TTC1,112
NOP58,113
RL27A,114
INVO,115
IF16,116
SNX15,117
ARL8B,118
UNC80,119
RMD1,120
CD141,121
CS044,122
MXRA5,123
S10A6,124
LORF2,125
NDKB,126
CD56.1,127
EPB42,128
DIRC2,129
COPZ1,130
ECH1,131
SYNE1,132
MBB1A,133
GTF2I,134
PTN1,135
PGTB2,136
TRPM6,137
CORO7,138
DJC13,139
O14K1,140
PLIN3,141
LDHA,142
PP2BA,143
COPE,144
DPOLA,145
FHL5,146
SNX9,147
F200B,148
CD10,149
MPV17,150
STAT3,151
PAR3L,152
INT13,153
RPB11,154
